藝人中文名,藝人英文名,類型,地區,入圍紀錄,得獎紀錄,來源網址
蕭煌奇,,男歌手,國內,第36屆金曲獎 最佳華語男歌手獎；第37屆金曲獎 最佳台語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳台語男歌手獎,第37屆金曲獎 最佳台語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳台語男歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
李榮浩,,男歌手,國外,第36屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
蔡健雅,Tanya Chua,女歌手,國外,第36屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
戴佩妮,Penny Tai,女歌手,國外,第36屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
陳忻玥,,女歌手,國內,第36屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
Karencici,,女歌手,國外,第36屆金曲獎 最佳華語女歌手獎；第17屆金音 最佳另類流行專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
馬克SAVAGE.M,,男歌手,國內,第36屆金曲獎 最佳台語男歌手獎；第16屆金音 最佳嘻哈專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
蔡秋鳳,Carris Tsai,女歌手,國內,第36屆金曲獎 最佳台語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
林美秀,,女歌手,國內,第36屆金曲獎 最佳台語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
詹雅雯,,女歌手,國內,第36屆金曲獎 最佳台語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
曾妮Dremedreman,,女歌手,國內,第36屆金曲獎 最佳原住民語歌手獎；第16屆金音 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
無妄合作社,,團體,待確認,第36屆金曲獎 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
JADE,,團體,國內,第36屆金曲獎 最佳樂團獎；第15屆金音 最佳搖滾歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
TRASH,,團體,國內,第36屆金曲獎 最佳樂團獎；第15屆金音 最佳現場演出獎,第36屆金曲獎 最佳樂團獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
八十八顆芭樂籽,,團體,國內,第36屆金曲獎 最佳樂團獎；第16屆金音 最佳樂團獎；第16屆金音 最佳現場演出獎；第16屆金音 最佳搖滾專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
恐龍的皮,,團體,國內,第36屆金曲獎 最佳演唱組合獎；第16屆金音 最佳現場演出獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
動力火車,,團體,國內,第36屆金曲獎 最佳演唱組合獎,第36屆金曲獎 最佳演唱組合獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805
珂拉琪,Collage,團體,國內,第36屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
丹丹猫猫,,團體,國內,第36屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
ATARASHII GAKKO!,,團體,國外,第36屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
SherryZ鄭雙雙,,女歌手,待確認,第36屆金曲獎 最佳新人獎；第16屆金音 最佳新人獎；第16屆金音 最佳節奏藍調專輯獎；第16屆金音 最佳節奏藍調歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
someshiit山姆,,男歌手,國內,第36屆金曲獎 最佳新人獎；第16屆金音 最佳嘻哈專輯獎,第36屆金曲獎 最佳新人獎；第16屆金音 最佳嘻哈專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805
JUD陳泳希,,女歌手,國內,第36屆金曲獎 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430
Andr,,女歌手,待確認,第36屆金曲獎 最佳新人獎；第16屆金音 最佳另類流行歌曲獎；第15屆金音 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
JOLIN蔡依林,,女歌手,國內,第37屆金曲獎 年度專輯獎；第37屆金曲獎 年度歌曲獎；第37屆金曲獎 最佳華語專輯獎；第37屆金曲獎 最佳華語女歌手獎,第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳華語女歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991
楊世暄,,男歌手,國內,第37屆金曲獎 年度歌曲獎；第17屆金音 最佳搖滾歌曲獎；第17屆金音 最佳民謠歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
張震嶽,,男歌手,國內,第37屆金曲獎 年度歌曲獎；第37屆金曲獎 最佳華語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳華語男歌手獎,第37屆金曲獎 最佳華語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳華語男歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991
陳小霞,,女歌手,國內,第37屆金曲獎 年度歌曲獎；第37屆金曲獎 評審團獎,第37屆金曲獎 評審團獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991
陳嫺靜,,女歌手,國內,第37屆金曲獎 年度歌曲獎；第37屆金曲獎 最佳華語女歌手獎；第37屆金曲獎 最佳新人獎；第17屆金音 最佳現場演出獎；第16屆金音 最佳專輯獎；第16屆金音 最佳新人獎；第16屆金音 最佳嘻哈專輯獎；第16屆金音 最佳嘻哈歌曲獎；第16屆金音 最佳節奏藍調歌曲獎；第16屆金音 最佳另類流行專輯獎；第16屆金音 最佳另類流行歌曲獎,第37屆金曲獎 最佳新人獎；第16屆金音 最佳新人獎；第16屆金音 最佳嘻哈歌曲獎；第16屆金音 最佳另類流行專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
A-Lin,,女歌手,國內,第37屆金曲獎 年度歌曲獎,第37屆金曲獎 年度歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991
頑童MJ116,,團體,國內,第37屆金曲獎 最佳華語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
單依純,,女歌手,國外,第37屆金曲獎 最佳華語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
鄭宜農,,女歌手,國內,第37屆金曲獎 最佳台語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳台語女歌手獎；第16屆金音 最佳專輯獎；第16屆金音 最佳創作歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
吳永吉,,男歌手,國內,第37屆金曲獎 最佳台語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳台語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
CJ MiT,,待確認,國內,第37屆金曲獎 最佳台語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳台語男歌手獎；第37屆金曲獎 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
阿依.羅,,女歌手,國外,第37屆金曲獎 最佳客語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳客語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
ana,,待確認,待確認,第37屆金曲獎 最佳客語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳客語歌手獎；第17屆金音 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
春麵樂隊,,團體,國內,第37屆金曲獎 最佳客語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳客語歌手獎；第17屆金音 最佳民謠專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
陳以諾Sarah,,女歌手,國外,第37屆金曲獎 最佳客語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳客語歌手獎；第37屆金曲獎 最佳新人獎,第37屆金曲獎 最佳客語歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991
黃宇寒,,待確認,國內,第37屆金曲獎 最佳客語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳客語歌手獎,第37屆金曲獎 最佳客語專輯獎；第37屆金曲獎 年度專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991
漂流出口,,團體,國內,第37屆金曲獎 最佳原住民語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳樂團獎；第17屆金音 最佳樂團獎；第17屆金音 最佳搖滾專輯獎,第37屆金曲獎 最佳原住民語專輯獎；第37屆金曲獎 年度專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
高金龍Lawis Aow,,男歌手,國內,第37屆金曲獎 最佳原住民語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳原住民語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
Arase阿拉斯,,男歌手,國內,第37屆金曲獎 最佳原住民語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳原住民語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
Suming舒米恩,,男歌手,國內,第37屆金曲獎 最佳原住民語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳原住民語歌手獎,第37屆金曲獎 最佳原住民語歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991
Matzka,,男歌手,國內,第37屆金曲獎 最佳原住民語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳原住民語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
鶴The Crane,,團體,待確認,第37屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
落日飛車,Sunset Rollercoaster,團體,國內,第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳樂團獎；第17屆金音 最佳專輯獎；第17屆金音 最佳樂團獎；第17屆金音 最佳另類流行專輯獎；第17屆金音 最佳另類流行歌曲獎,第37屆金曲獎 最佳樂團獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
周湯豪,,男歌手,國內,第37屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
Gummy B,,待確認,待確認,第37屆金曲獎 最佳華語男歌手獎；第17屆金音 最佳現場演出獎；第15屆金音 最佳嘻哈專輯獎；第15屆金音 最佳嘻哈歌曲獎,第15屆金音 最佳嘻哈歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
彭佳慧,,女歌手,國內,第37屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
劉艾立,,女歌手,待確認,第37屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
曾瑋中,,男歌手,國內,第37屆金曲獎 最佳台語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
周自從,Since Chou,男歌手,國內,第37屆金曲獎 最佳台語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
陳怡婷,,女歌手,國內,第37屆金曲獎 最佳台語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
秀蘭瑪雅,,女歌手,國內,第37屆金曲獎 最佳台語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
白冰冰,,女歌手,國內,第37屆金曲獎 最佳台語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
PiA吳蓓雅,,女歌手,國內,第37屆金曲獎 最佳台語女歌手獎,第37屆金曲獎 最佳台語女歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991
查勞．巴西瓦里,,待確認,國內,第37屆金曲獎 最佳原住民語歌手獎；第17屆金音 最佳民謠專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
icyball冰球樂團,,團體,國內,第37屆金曲獎 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
老王樂隊,,團體,國內,第37屆金曲獎 最佳樂團獎；第17屆金音 最佳搖滾歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
甜約翰Sweet John,,團體,國內,第37屆金曲獎 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
Tizzy Bac,,團體,國內,第37屆金曲獎 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
GENBLUE幻藍小熊,,團體,待確認,第37屆金曲獎 最佳演唱組合獎,第37屆金曲獎 最佳演唱組合獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991
凹與山,,團體,國內,第37屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
椅子樂團,,團體,國內,第37屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
Dac與鄭昭元ZAOYUAN,,團體,待確認,第37屆金曲獎 最佳演唱組合獎；第17屆金音 最佳節奏藍調專輯獎；第17屆金音 最佳節奏藍調歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
高真TRU,,待確認,國內,第37屆金曲獎 最佳新人獎；第17屆金音 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
163braces,,待確認,待確認,第37屆金曲獎 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
JOYCE就以斯,,待確認,國內,第37屆金曲獎 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247
陳穎達四重奏,,團體,國內,第17屆金音 最佳專輯獎；第17屆金音 最佳爵士專輯獎；第17屆金音 最佳爵士歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
羊駝小姐,Miss Alpaca,女歌手,國內,第17屆金音 最佳專輯獎；第17屆金音 最佳創作歌手獎；第17屆金音 最佳新人獎；第17屆金音 最佳節奏藍調專輯獎；第17屆金音 最佳節奏藍調歌曲獎；第17屆金音 最佳另類流行歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
2CHANGE,,待確認,待確認,第17屆金音 最佳專輯獎；第17屆金音 最佳嘻哈專輯獎；第15屆金音 最佳嘻哈專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
羅妍婷,,待確認,待確認,第17屆金音 最佳專輯獎；第17屆金音 最佳創作歌手獎；第17屆金音 最佳爵士專輯獎；第17屆金音 最佳爵士歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
COLD DEW,,待確認,待確認,第17屆金音 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
淺堤,Tiu Tiu,團體,國內,第17屆金音 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
Mong Tong夢東,,團體,國內,第17屆金音 最佳樂團獎；第17屆金音 最佳現場演出獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
Robot Swing,,團體,國內,第17屆金音 最佳樂團獎；第17屆金音 最佳搖滾歌曲獎；第16屆金音 最佳樂團獎；第15屆金音 最佳現場演出獎；第15屆金音 最佳嘻哈歌曲獎,第16屆金音 最佳樂團獎；第15屆金音 最佳現場演出獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=226493
馬尾,,待確認,待確認,第17屆金音 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
debloop,,待確認,待確認,第17屆金音 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
陳穎達,,待確認,待確認,第17屆金音 最佳樂手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
林偉中,,待確認,待確認,第17屆金音 最佳樂手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
蘇郁涵,,女歌手,國內,第17屆金音 最佳樂手獎；第17屆金音 最佳爵士專輯獎；第17屆金音 最佳爵士歌曲獎；第17屆金音 評審團獎；第15屆金音 最佳樂手獎；第15屆金音 最佳爵士歌曲獎,第17屆金音 評審團獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
王品心,,待確認,待確認,第17屆金音 最佳樂手獎；第17屆金音 最佳電音專輯獎；第17屆金音 最佳電音歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
葉俊麟,,待確認,待確認,第17屆金音 最佳樂手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
Brandon Lin,,待確認,待確認,第17屆金音 最佳樂手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
洪惟農,,待確認,待確認,第17屆金音 最佳樂手獎；第16屆金音 最佳樂手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
鄭宇泰,,待確認,待確認,第17屆金音 最佳樂手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
Flowstrong,,待確認,待確認,第17屆金音 最佳現場演出獎；第17屆金音 最佳嘻哈專輯獎；第15屆金音 最佳新人獎；第15屆金音 最佳嘻哈歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
That's My Shhh,,待確認,待確認,第17屆金音 最佳現場演出獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
聲子蟲,,待確認,待確認,第17屆金音 最佳現場演出獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
C.Holly,,待確認,待確認,第17屆金音 最佳現場演出獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
ena mori,,女歌手,國外,第17屆金音 亞洲創作音樂獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
KIKI,,待確認,待確認,第17屆金音 亞洲創作音樂獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
SHNTI,,待確認,待確認,第17屆金音 亞洲創作音樂獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
N.Y.P.D.南洋派對,,團體,待確認,第17屆金音 亞洲創作音樂獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
NAMDO CALLING,,待確認,待確認,第17屆金音 亞洲創作音樂獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
deca joins,,團體,國內,第17屆金音 最佳搖滾專輯獎；第15屆金音 最佳現場演出獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381
潑猴,,待確認,待確認,第17屆金音 最佳搖滾專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
魚條,,待確認,待確認,第17屆金音 最佳搖滾專輯獎；第17屆金音 最佳搖滾歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
Acid Brain酸腦,,待確認,待確認,第17屆金音 最佳搖滾專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
共振效應,,待確認,待確認,第17屆金音 最佳搖滾歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
一好．屴夯,,待確認,待確認,第17屆金音 最佳民謠專輯獎；第17屆金音 最佳民謠歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
雷擎,,待確認,待確認,第17屆金音 最佳民謠專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
凹與山Our Shame,,團體,國內,第17屆金音 最佳民謠歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
邱舒,,女歌手,國內,第17屆金音 最佳民謠歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
Lizi栗子,,待確認,待確認,第17屆金音 最佳嘻哈專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
蘇裔非,,待確認,待確認,第17屆金音 最佳嘻哈專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
DCIV柯德維,,待確認,待確認,第17屆金音 最佳嘻哈專輯獎；第17屆金音 最佳嘻哈歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
方品融,,待確認,待確認,第17屆金音 最佳嘻哈歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
Miss Ko葛仲珊,,女歌手,國內,第17屆金音 最佳嘻哈歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
吳睿朋,,待確認,待確認,第17屆金音 最佳嘻哈歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
熊仔,,男歌手,國內,第17屆金音 最佳嘻哈歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
Cicada,,團體,國內,第17屆金音 最佳電音專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
undep,,待確認,待確認,第17屆金音 最佳電音專輯獎；第17屆金音 最佳電音歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
PROD_CW,,待確認,待確認,第17屆金音 最佳電音專輯獎；第17屆金音 最佳電音歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
yyt,,待確認,待確認,第17屆金音 最佳電音歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
A.FLYT,,待確認,待確認,第17屆金音 最佳電音歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
TeacheRay,,待確認,待確認,第17屆金音 最佳爵士專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
Falk Bonitz Rafique,,待確認,待確認,第17屆金音 最佳爵士專輯獎；第17屆金音 最佳爵士歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
楊易修,,待確認,待確認,第17屆金音 最佳爵士歌曲獎；第17屆金音 最佳另類流行專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
ERIKA劉艾立,,待確認,待確認,第17屆金音 最佳節奏藍調專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
BRADD,,待確認,待確認,第17屆金音 最佳節奏藍調專輯獎；第17屆金音 最佳節奏藍調歌曲獎；第16屆金音 最佳節奏藍調專輯獎；第16屆金音 最佳另類流行歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
雲端司機,,待確認,待確認,第17屆金音 最佳節奏藍調歌曲獎；第17屆金音 最佳另類流行專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
Haezee黃瑋昕,,待確認,待確認,第17屆金音 最佳節奏藍調歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
NIO,,待確認,待確認,第17屆金音 最佳另類流行專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
鐘奕安,,待確認,待確認,第17屆金音 最佳另類流行歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
許哲珮,,女歌手,國內,第17屆金音 最佳另類流行歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
A_Root同根生,,待確認,待確認,第17屆金音 最佳另類流行歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897
百合花,,團體,國內,第16屆金音 最佳專輯獎；第16屆金音 最佳樂團獎；第16屆金音 最佳搖滾專輯獎；第16屆金音 最佳搖滾歌曲獎；第16屆金音 最佳另類流行歌曲獎；第16屆金音 評審團獎；第15屆金音 最佳搖滾歌曲獎,第16屆金音 最佳專輯獎；第16屆金音 評審團獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448
