藝人中文名,維基條目網址,簡介,狀態
呂士軒,https://zh.wikipedia.org/wiki/%E5%91%82%E5%A3%AB%E8%BB%92,"呂士軒（1989年3月12日—），藝名Trout Fresh，臺灣饒舌創作歌手、音樂製作人，新竹人，畢業於玄奘大學。2015年12月以饒舌團體違法SmashRegz發行EP《戲劇話》，2017年12月發行首張個人專輯《誤入奇途》。2025年，以第三張個人專輯《好聲豪氣》拿下第36屆金曲獎最佳華語男歌手獎和最佳華語專輯獎兩項大獎。
",已取得
魏如萱,https://zh.wikipedia.org/wiki/%E9%AD%8F%E5%A6%82%E8%90%B1,"魏如萱，臺灣創作女歌手、演員及電台主持人，綽號「娃娃」。2003年出道為自然捲樂團主唱，2006年因喉嚨問題而退出。2007年單飛發行首張個人專輯《甜蜜生活》。曾在中廣音樂網擔任主持人，目前是HitFM聯播網的DJ，以及「maison de waa 花室」商店及「forgood 好多咖啡」咖啡廳的老闆之一。曾6次入圍金曲獎最佳華語女歌手獎，並憑專輯《藏著並不等於遺忘》、《珍珠刑》兩度獲獎。
",已取得
楊肅浩,https://zh.wikipedia.org/wiki/%E6%A5%8A%E8%82%85%E6%B5%A9,"楊肅浩（1994年7月7日—），羅東高商國文老師，同時也是台灣新生代台語民謠歌手。曾拿過創作比賽大獎，包括兩岸校園交流大賽亞軍、原創歌曲獎、閩南語歌王獎等，還曾隨著樂壇前輩參與《民歌四十》巡演。於2020年7月31日發行首張台語創作專輯《噶瑪蘭的風吹》，隔年憑此張專輯，入圍第32屆金曲獎最佳台語男歌手獎。
",已取得
FunkyMo,https://zh.wikipedia.org/wiki/FunkyMo,"FunkyMo 是台灣音樂人、電子音樂製作人、鍵盤手與創作歌手。畢業於美國伯克利音樂學院，主修電子音樂製作。活躍於流行、R&B、Soul、Funk 與電子音樂等領域，並參與幕前與幕後多項音樂製作工作。
",已取得
陳以恆,https://zh.wikipedia.org/wiki/%E9%99%B3%E4%BB%A5%E6%81%86,"陳以恆（1994年—）是台灣台北市大安區出身的台語流行音樂男歌手。2019年10月30日發行首張迷你專輯《但係我袂驚惶》，該EP於2020年8月1日獲得第13屆 Freshmusic Awards年度EP獎。2020年10月3日入圍第31屆金曲獎最佳台語男歌手獎提名。2024年11月25日發行首張正規專輯《罐頭塔》，該專輯於	2025年6月28日入圍第36屆金曲獎三個獎項，最終榮獲最佳台語男歌手獎。
",已取得
王彙筑,https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%BD%99%E7%AD%91,"王彙筑（1992年9月27日—），出身於嘉義的唱作人。就讀嘉義女中時因加入吉他社遂而引發她對音樂創作的興趣，2011年參加南方之星比賽得到創作組冠軍、個人組亞軍。2012年參加《女朋友。男朋友尋找新女聲新男聲》徵選活動，得到演唱電影原聲帶的機會。與潘雲安、謝宗霖、郭鈞涵、董兆怡同為黃韻玲老師和鍾興民老師發掘、培養的創作歌手。音樂類型以 Folk 與 Indie Pop 為主，歌詞風格時而隱晦、時而趣味，就當你以為她是一個不折不扣的文青時，她會猝不及防地來則冷笑話回擊。
",已取得
秋林,,,待確認
粹垢TRAEGO,,,無條目
黃子軒,https://zh.wikipedia.org/wiki/%E9%BB%83%E5%AD%90%E8%BB%92,"黃子軒（1983年—），客家音樂人。新竹市眷村子弟，因父親是台灣閩南人，母親是竹北客家人，而精通臺語及海陸客語，並使用母語進行音樂創作。寫過華語流行音樂圈膾炙人口的主打歌，現為「黃子軒與山平快」團長，同為獨立樂團「發條人」與「暗黑白領階級」主唱。唱片公司簽約詞曲作者。電視節目製作。2016年新竹關西駐村音樂創作人、2016內山金曲歌謠祭、山線平快鐵道巡迴計畫、內山搞關西等音樂節活動主理人。2025年以專輯《牛騷 New Soul》在第36屆金曲獎典禮中榮獲『最佳客語專輯獎』與『最佳客語歌手獎』雙料殊榮。
",已取得
羅思容,,,無條目
米莎,https://zh.wikipedia.org/wiki/%E7%B1%B3%E8%8E%8E_(%E6%AD%8C%E6%89%8B),"米莎（1984年1月8日—），本名溫尹嫦，台灣苗栗人，是台灣創作歌手。米莎的音樂作品大多以四縣腔客語呈現，風格寫實而多變化，富含對童年、生活、環境、社會、人與人之間的敏銳觀察，與深厚的土地情懷。曾組成樂團「米莎x地下河」。
",已取得
楊淑喻（吉那）,,,無條目
張淦勛,https://zh.wikipedia.org/wiki/%E5%BC%B5%E6%B7%A6%E5%8B%9B,"張淦勛，臺灣排灣族創作歌手、詞曲作家，臺東縣出生，2024年12月28日張淦勛發行首張排灣族語創作專輯《雲就要翻過山》，該專輯於2025年5月14日在第36屆金曲獎入圍最佳新人獎、最佳原住民語專輯獎、最佳作詞人獎、最佳專輯製作人獎、年度專輯獎等五項大獎，2025年6月28日以專輯裡收錄的華語歌曲〈南迴之子〉獲得『最佳作詞人獎』殊榮。
",已取得
Morikilr孔亞明,,,無條目
Kumu Basaw姑慕·巴紹,,,無條目
桑布伊,https://zh.wikipedia.org/wiki/%E6%A1%91%E5%B8%83%E4%BC%8A,"桑布伊・卡達德邦・瑪法琉 是臺灣歌手，出身自臺東卑南族卡大地布部落的卡達德邦氏族瑪法琉家族。2021年以專輯《得力量pulu'em》奪下兩座金曲獎，包括原住民歌手獎及最佳年度專輯獎。
",已取得
戴曉君Sauljaljui,,,無條目
柏霖PoLin,,,無條目
蕭煌奇,https://zh.wikipedia.org/wiki/%E8%95%AD%E7%85%8C%E5%A5%87,"蕭煌奇（1976年9月22日—），台灣創作歌手和柔道運動員。先天視障，1995年起擔任全視障樂團全方位樂團團長、主唱、薩克斯風手，亦會演奏吉他和爵士鼓，經常受邀至世界各地演出。1999年，蕭煌奇獲得了台灣十大傑出青年。2016年，蕭煌奇在台北小巨蛋舉辦了神秘世界演唱會，成為史上首位攻蛋的盲人歌手。2026年得到第5座金曲最佳台語男歌手獎。
",已取得
李榮浩,https://zh.wikipedia.org/wiki/%E6%9D%8E%E6%A6%AE%E6%B5%A9,"李榮浩（1985年7月11日—），中國大陸創作男歌手，出生於安徽蚌埠。2005年簽約愛貝克思唱片成為旗下幕後製作人，曾與陳坤、趙薇等藝人合作。2010年發行首張個人迷你專輯《小黃》，2013年發行首張個人專輯《模特》走紅，並獲得台灣第25屆金曲獎最佳新人獎。而後亦曾擔任選秀節目《偶像練習生》（2018）、兩季《青春有你》（2018；2022）、四季《中國好聲音》（2019-2022）導師。
",已取得
蔡健雅,https://zh.wikipedia.org/wiki/%E8%94%A1%E5%81%A5%E9%9B%85,"蔡健雅，新加坡創作女歌手及音樂製作人。1997年以首張英語專輯《Bored》在新加坡出道，1999年在臺灣發行首張國語專輯《呼吸》。2006年定居於臺北，並成立「天涯音樂工作室」。
",已取得
戴佩妮,https://zh.wikipedia.org/wiki/%E6%88%B4%E4%BD%A9%E5%A6%AE,"戴佩妮，馬來西亞創作女歌手、音樂製作人、樂團「佛跳牆」主唱、作家及MV導演。舞者工作出身，2000年發行首張創作專輯《Penny》在台灣出道，至2006年都以一年一張的速度發行專輯。2006年發行第七張專輯《iPenny》後，約有3年的時間她選擇在網路平台發表數位單曲，以及轉往攝影和拍攝MV的方面發展。出道至今已發行12張個人專輯，和3張以佛跳牆樂團名義發行的專輯。
",已取得
陳忻玥,https://zh.wikipedia.org/wiki/%E9%99%B3%E5%BF%BB%E7%8E%A5,"陳忻玥，出生於臺灣臺北市，台灣創作女歌手。肄業於輔仁大學英文系。參加歌唱選秀節目《聲林之王2》後人氣大漲。代表作《煙幕》目前在YouTube觀看次數已累積突破5000萬次，《炙愛》女聲版突破3000萬次，2019年與師兄高爾宣合作的男女對唱版《Without you》也突破2000萬觀看，2022年發行的陳忻玥與李杰明合唱單曲《I'm alive》亦於2023年4月底突破一千萬點擊，現已突破2000萬次，在2020年9月時舉辦個人專場售票演唱會，並在演唱會上一口氣演唱近20首歌曲，其中也邀請了同門師姐王艷薇、師弟李杰明以及師兄高爾宣擔任嘉賓。
",已取得
Karencici,https://zh.wikipedia.org/wiki/%E6%9E%97%E6%84%B7%E5%80%AB,"林愷倫，美籍華裔女歌手、詞曲作家和演員。出道前曾為田馥甄寫歌，2018年發行首張個人專輯《SHA YAN》，2019年入圍第30屆金曲獎最佳新人獎。2021年與王嘉爾、J.Sheon、ICE組成PANTHEPACK。同年12月發行第二張個人專輯《99% Angel》，2022年憑該專輯入圍第33屆金曲獎最佳華語女歌手獎。
",已取得
馬克SAVAGE.M,,,無條目
蔡秋鳳,https://zh.wikipedia.org/wiki/%E8%94%A1%E7%A7%8B%E9%B3%B3,"蔡秋鳳，臺灣雲林縣四湖鄉人，臺灣臺語女歌手。以獨特的聲線聞名於台語歌壇，因早年唱的歌曲帶有黑道或社會底層生活無奈的色彩，配上獨特的聲線，有苦情歌后之稱。蔡秋鳳也是第四位踏上台北小巨蛋的台語女歌手。
",已取得
林美秀,https://zh.wikipedia.org/wiki/%E6%9E%97%E7%BE%8E%E7%A7%80,,待確認
詹雅雯,https://zh.wikipedia.org/wiki/%E8%A9%B9%E9%9B%85%E9%9B%AF,"詹雅雯（1967年3月2日—），原名詹淑貞，臺灣台語流行音樂創作女歌手、詞曲作家。詹雅雯出身勞工家庭，1980年代以台語流行音樂合唱團體「櫻花姐妹」出道，走唱直至1991年起才開始灌錄個人專輯，並以日本演歌式的唱腔走紅藝界，素有「夜市江蕙」的美稱，以演唱國台語老歌與演歌類歌曲為主。三立電視台台語歌唱節目超級紅人榜評審。
",已取得
曾妮Dremedreman,,,無條目
無妄合作社,,,無條目
JADE,,,無條目
TRASH,,,無條目
八十八顆芭樂籽,https://zh.wikipedia.org/wiki/%E5%85%AB%E5%8D%81%E5%85%AB%E9%A1%86%E8%8A%AD%E6%A8%82%E7%B1%BD,"八十八顆芭樂籽 是台灣樂團，成立於1996年。
",已取得
恐龍的皮,https://zh.wikipedia.org/wiki/%E6%81%90%E9%BE%8D%E7%9A%84%E7%9A%AE,"恐龍的皮是一個以恐龍為主題的台灣獨立流行音樂團體，使用「愛鼠人類朋友悶的白堊紀流行音樂二重奏組」形容自身，歌詞內容皆為英文。
",已取得
動力火車,https://zh.wikipedia.org/wiki/%E5%8B%95%E5%8A%9B%E7%81%AB%E8%BB%8A,"動力火車，臺灣二人男子演唱組合，由尤秋興、顏志琳兩位排灣族歌手所組成。因其歌聲特殊高亢具震撼力，於1990年代末竄起於臺灣歌壇，曾10次入圍金曲獎最佳重唱組合獎，兩度獲獎。目前為華研國際音樂旗下歌手。
",已取得
珂拉琪,,,待確認
丹丹猫猫,,,無條目
ATARASHII GAKKO!,,,無條目
SherryZ鄭雙雙,,,無條目
someshiit山姆,,,無條目
JUD陳泳希,,,無條目
Andr,,,無條目
JOLIN蔡依林,,,無條目
楊世暄,,,無條目
張震嶽,https://zh.wikipedia.org/wiki/%E5%BC%B5%E9%9C%87%E5%B6%BD,"海雅·谷慕，漢名張震嶽，阿美族，台灣創作男歌手，其代表作歌曲包括〈愛的初體驗〉、〈愛我別走〉、〈分手吧〉、〈自由〉、〈思念是一種病〉等等，也曾參與電影演出。2014年以專輯《我是海雅谷慕》獲得第25屆金曲獎「最佳國語專輯獎」。2026年以專輯《跟著感覺走》獲得第37屆金曲獎「最佳華語男歌手獎」、「最佳華語專輯獎」及「最佳作曲人獎」（〈浪人的...〉）三項大獎。
",已取得
陳小霞,https://zh.wikipedia.org/wiki/%E9%99%B3%E5%B0%8F%E9%9C%9E,"陳小霞，台灣創作女歌手。合作對象包括陳奕迅、張國榮、王菲、林良樂、田馥甄、劉若英、張信哲、郭靜、范瑋琪、江蕙、莫文蔚、邰正宵、孟庭葦、林宥嘉、梁文音等歌手。她在27歲時發表第一首作品是1981年劉文正的專輯《三月裡的小雨》中的「春夏秋冬」一曲。1991年推出個人專輯《大腳姐仔》，與陳小霞合作最多的填詞人則為填詞人姚若龍，2010年憑歌手郭靜所演唱的《在樹上唱歌》一曲拿下第21屆金曲獎最佳作曲人獎，是陳小霞創作生涯30年來的第一座金曲獎。
",已取得
陳嫺靜,https://zh.wikipedia.org/wiki/%E9%99%B3%E5%AB%BA%E9%9D%9C,"陳嫺靜（1998年12月8日—），是出身臺灣臺北的饒舌音樂創作歌手。
",已取得
A-Lin,https://zh.wikipedia.org/wiki/A-Lin,"黃麗玲，藝名A-Lin，臺灣阿美族女歌手，生於高雄苓雅。曾數次入圍臺灣金曲獎，並多次受邀在重要頒獎典禮上獻唱，2023年以專輯《LINK》獲得第34屆金曲獎最佳華語女歌手獎。2026年以電影《陽光女子合唱團》主題曲〈幸福在歌唱〉獲得第37屆金曲獎年度歌曲獎。
",已取得
頑童MJ116,https://zh.wikipedia.org/wiki/%E9%A0%91%E7%AB%A5MJ116,"頑童MJ116，簡稱「頑童」，臺灣饒舌團體，由「瘦子」（E.SO）、「小春」（Kenzy）以及「大淵」（Muta）三人所組成。成立於2004年7月，「MJ」的意思是木柵，「116」代表木柵所屬的臺北市文山區郵遞區號。2015年頑童三人與搖滾歌手張震嶽、饒舌歌手熱狗 組成音樂組合兄弟本色，以一曲俗稱「這樣太危險」的主打歌《Fly Out》爆紅，2017兄弟本色解散。2018年頑童以「幹大事」專輯，獲得第29屆金曲獎最佳演唱組合獎。2019年1月，在高雄的演唱會中，頑童宣布「單飛不解散」。
",已取得
單依純,https://zh.wikipedia.org/wiki/%E5%8D%95%E4%BE%9D%E7%BA%AF,"單依純（2001年12月23日—），浙江東陽人，中國女歌手。2020年考入浙江音樂學院，主修流行演唱。同年，參加浙江衛視音樂選秀節目《2020中國好聲音》，最終獲得總冠軍，從而正式進入演藝圈，其後於《歌手2025》獲得季軍。
",已取得
鄭宜農,https://zh.wikipedia.org/wiki/%E9%84%AD%E5%AE%9C%E8%BE%B2,"鄭宜農（1987年3月19日—），是臺灣創作女歌手、作家及演員。
",已取得
吳永吉,https://zh.wikipedia.org/wiki/%E5%90%B3%E6%B0%B8%E5%90%89,"吳永吉（1970年10月19日—），台灣新北市瑞芳區人，號稱「愛寫歌的工人」，現為董事長樂團吉他手與主唱、大吉祥整合行銷負責人，擅長詞曲創作與音樂製作。
",已取得
CJ MiT,,,無條目
阿依.羅,,,無條目
ana,,,無條目
春麵樂隊,,,無條目
陳以諾Sarah,,,無條目
黃宇寒,https://zh.wikipedia.org/wiki/%E9%BB%83%E5%AE%87%E5%AF%92,"黃宇寒（1996年4月2日—），台灣客家獨立音樂創作歌手，生於桃園市龍潭區。父親是台灣客家人，母親為印尼華僑。2019年發行的專輯《有時有日》、2021年發行的專輯《虛空現下》及2025年發行的專輯《Ngai》， 皆於隔年入圍金曲獎「最佳客語歌手獎」、「最佳客語專輯獎」及「年度專輯獎」。現時參與眾多歌手專輯或音樂會的和聲製作與樂手。曾經於節目〈聲林之王〉第一季中擔任過李友廷的踢館魔王。第四張專輯《Ngai》於2026年獲得第37屆金曲獎「最佳客語專輯獎」。
",已取得
漂流出口,,,無條目
高金龍Lawis Aow,,,無條目
Arase阿拉斯,,,無條目
Suming舒米恩,,,無條目
Matzka,https://zh.wikipedia.org/wiki/Matzka,"Matzka，漢名宋唯農，臺灣創作歌手、詞曲作家與音樂製作人，臺東縣金峰鄉排灣族人，MATZKA樂團主唱。
",已取得
鶴The Crane,,,無條目
落日飛車,https://zh.wikipedia.org/wiki/%E8%90%BD%E6%97%A5%E9%A3%9B%E8%BB%8A,"落日飛車 是於2009年成立的台灣樂團，由主唱兼吉他手國國、貝斯手弘禮、鍵盤手小干、薩克斯手浩庭和鼓手尊龍共五人組成。
",已取得
周湯豪,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%B9%AF%E8%B1%AA,"周湯豪，臺灣創作男歌手、演員，也是「祝你好命」的團隊CEO。
",已取得
Gummy B,https://zh.wikipedia.org/wiki/Gummy_B,"Gummy B（2000年9月11日—），本名黃立堯，出身於台灣台北市的饒舌歌手，高中畢業於復興實中，因求學經歷長年在同個地區，因此寫下〈敦化南路〉一曲。大學就讀於國立臺灣大學生物產業傳播暨發展學系。大學入學後加入台大嘻研，成為台灣「學院派饒舌」代表新秀之一。2022年發行個人首張專輯《安泰》，同年宣布加入廠牌夜間限定工作室，與wannasleep同屬旗下藝人。2023年在大嘻哈時代2總冠軍決賽上拿下亞軍。
",已取得
彭佳慧,https://zh.wikipedia.org/wiki/%E5%BD%AD%E4%BD%B3%E6%85%A7,"彭佳慧，台灣女歌手，以低音渾厚、高音充滿爆發力聞名，而有「鐵肺歌后」之美譽。彭佳慧1996年以專輯《說真心話》出道，並於隔年第8屆金曲獎榮獲最佳新人獎。2016年以專輯《大齡女子》奪下第27屆金曲獎最佳國語女歌手獎。2023年，憑藉首張客語專輯《我在客廳做的夢》奪下第34屆金曲獎最佳客語歌手獎，創下金曲獎首位華語、客語雙料歌后紀錄。
",已取得
劉艾立,https://zh.wikipedia.org/wiki/%E5%8A%89%E8%89%BE%E7%AB%8B,"劉艾立（1992年3月14日—），藝名Erika，台灣美國籍女歌手，第七屆《超級星光大道》參賽者。在百人初選時被黃韻玲相中因而選入隊伍中，也是隊上的強棒之一。
",已取得
曾瑋中,https://zh.wikipedia.org/wiki/%E6%9B%BE%E7%91%8B%E4%B8%AD,"曾瑋中，台灣男歌手，以演唱台語歌曲見長，以民視唱歌比賽節目《明日之星Super Star》參賽者的身份開啟知名度。
",已取得
周自從,,,無條目
陳怡婷,https://zh.wikipedia.org/wiki/%E9%99%B3%E6%80%A1%E5%A9%B7,"陳怡婷（1989年9月29日—），臺灣女歌手，出身自民視歌唱比賽節目《明日之星Super Star》，演唱臺語流行音樂。臺北市人，聖約翰科技大學企業管理系畢業。現為大藝娛樂、時代創藝旗下藝人。
",已取得
秀蘭瑪雅,https://zh.wikipedia.org/wiki/%E7%A7%80%E8%98%AD%E7%91%AA%E9%9B%85,"秀蘭瑪雅（1978年10月18日—），漢名沈秀蘭，臺灣女歌手，以演唱臺語歌曲著稱。
",已取得
白冰冰,https://zh.wikipedia.org/wiki/%E7%99%BD%E5%86%B0%E5%86%B0,"白冰冰（1955年5月17日—），原名白月娥，後改名為白雪嬅。台灣女歌手、演員、主持人，國立空中大學生活科學系畢業。以歌手起家，年輕時曾到日本學習歌舞，被日本雜誌稱為「超星的拳婦」。之後再回台發展，在台灣有「演藝圈大姐大」稱號。
",已取得
PiA吳蓓雅,,,無條目
查勞．巴西瓦里,,,無條目
icyball冰球樂團,https://zh.wikipedia.org/wiki/Icyball%E5%86%B0%E7%90%83%E6%A8%82%E5%9C%98,"icyball冰球樂團，是台灣的一組流行樂團，成立於2013年。現由主唱王昭權、貝斯手Nelson、鍵盤手蒙捷文、鼓手林士捷組成。
",已取得
老王樂隊,https://zh.wikipedia.org/wiki/%E8%80%81%E7%8E%8B%E6%A8%82%E9%9A%8A,"老王樂隊，台灣民謠搖滾樂團。2015年冬於台北市成立，曾在政大金旋獎、國立清華大學清韻獎、淡江大學金韶獎等校園民歌比賽都拿下創作組好成績；並於2016年末，以主唱立長、鼓手會元、吉他手偉碩為核心復出，並陸續加入貝斯手潔民與大提琴手佳瑩。
",已取得
甜約翰Sweet John,,,無條目
Tizzy Bac,https://zh.wikipedia.org/wiki/Tizzy_Bac,"Tizzy Bac（中文團名鐵之貝克），是台灣獨立樂團，成立於1999年，由陳惠婷（主唱兼鍵盤手）、許哲毓（貝斯手）、林前源（鼓手）三人組成。主要活動區域為北部，常在台北市各大表演場地演出。貝斯手許哲毓於2018年1月23日因癌症離世。
",已取得
GENBLUE幻藍小熊,,,無條目
凹與山,,,待確認
椅子樂團,https://zh.wikipedia.org/wiki/%E6%A4%85%E5%AD%90%E6%A8%82%E5%9C%98,"椅子樂團，台灣三人編制樂團，三人皆為台中一中民謠吉他社出身。由主唱兼吉他手詠靖、主唱兼吉他手仲穎以及貝斯手伯元組成。2019年以第二張專輯《Lovely Sunday樂芙莉聖代》榮獲第三十屆金曲獎「最佳演唱組合」。
",已取得
Dac與鄭昭元ZAOYUAN,,,待確認
高真TRU,,,無條目
163braces,,,無條目
JOYCE就以斯,,,無條目
陳穎達四重奏,,,無條目
羊駝小姐,,,無條目
2CHANGE,,,無條目
羅妍婷,,,無條目
COLD DEW,,,無條目
淺堤,https://zh.wikipedia.org/wiki/%E6%B7%BA%E5%A0%A4,"淺堤是來自臺灣高雄市的樂團，使用台語及華語創作歌曲，現由主唱兼吉他手依玲、貝斯手方博、鼓手堂軒、吉他手紅茶組成活動中。
",已取得
Mong Tong夢東,,,無條目
Robot Swing,,,無條目
馬尾,,,待確認
debloop,,,無條目
陳穎達,,,無條目
林偉中,,,無條目
蘇郁涵,https://zh.wikipedia.org/wiki/%E8%98%87%E9%83%81%E6%B6%B5,"蘇郁涵，台灣爵士鐵琴家、作曲家、編曲家、音樂製作人，主修爵士鐵琴演奏，畢業於臺北藝術大學管弦與擊樂研究所並獲得打擊樂演奏碩士。曾在雜誌DownBeat 被提名「年度崛起新秀」、All About Jazz樂評網獲「年度最佳專輯」等國際音樂論評認可。2024年6月29日以歌曲〈嗨高科技 Hi-Tech Pros and Cons〉在第35屆金曲獎獲得『演奏類最佳作曲人獎』。2026年6月27日以歌曲〈Pieces Peace 碎碎平安〉和演奏音樂專輯《Over The Moons》在第37屆金曲獎獲得『演奏類最佳作曲人獎』和『演奏類最佳專輯獎』雙獎殊榮。
",已取得
王品心,,,無條目
葉俊麟,,,待確認
Brandon Lin,,,無條目
洪惟農,,,無條目
鄭宇泰,,,無條目
Flowstrong,,,無條目
That's My Shhh,,,無條目
聲子蟲,,,無條目
C.Holly,,,無條目
ena mori,,,無條目
KIKI,,,無條目
SHNTI,,,無條目
N.Y.P.D.南洋派對,,,無條目
NAMDO CALLING,,,無條目
deca joins,https://zh.wikipedia.org/wiki/Deca_joins,"deca joins，是一個台灣的另類搖滾獨立樂團，目前成員為鄭敬儒（主唱、吉他）、楊尚樺（吉他）、謝俊彥 、陸浩釗（鼓手）、杜哲欣（打擊樂器）。2013年成立時為「FUBAR」，2016年改名為「灰矮星」，2017年改為現今團名。
",已取得
潑猴,https://zh.wikipedia.org/wiki/%E6%BD%91%E7%8C%B4,,待確認
魚條,,,無條目
Acid Brain酸腦,,,無條目
共振效應,,,無條目
一好．屴夯,,,無條目
雷擎,https://zh.wikipedia.org/wiki/%E9%9B%B7%E6%93%8E,"雷擎（1992年3月3日—），臺灣台北人，鼓手及創作歌手。
",已取得
凹與山Our Shame,,,待確認
邱舒,,,無條目
Lizi栗子,,,無條目
蘇裔非,,,無條目
DCIV柯德維,,,無條目
方品融,,,無條目
Miss Ko葛仲珊,,,無條目
吳睿朋,,,無條目
熊仔,https://zh.wikipedia.org/wiki/%E7%86%8A%E4%BB%94,"熊信寬（1990年9月12日—），藝名熊仔（Kumachan），是臺灣饒舌創作歌手。2022年獲得第33屆金曲獎最佳作詞人獎，2023年獲得第34屆金曲獎最佳華語專輯獎。
",已取得
Cicada,,,無條目
undep,,,無條目
PROD_CW,,,無條目
yyt,,,無條目
A.FLYT,,,無條目
TeacheRay,,,無條目
Falk Bonitz Rafique,,,無條目
楊易修,,,無條目
ERIKA劉艾立,,,無條目
BRADD,,,無條目
雲端司機,,,無條目
Haezee黃瑋昕,,,無條目
NIO,https://zh.wikipedia.org/wiki/NIO,,待確認
鐘奕安,,,無條目
許哲珮,https://zh.wikipedia.org/wiki/%E8%A8%B1%E5%93%B2%E7%8F%AE,"許哲珮，臺灣創作歌手、詞曲作家及音樂製作人。2001年發行首張個人創作專輯《汽球》出道，並以該專輯入圍第13屆金曲獎最佳新人獎。除流行音樂創作及唱片製作外，許哲珮亦長期參與音樂劇、舞台劇及跨領域製作，工作內容涵蓋演出、配樂、原創音樂及音樂設計。
",已取得
A_Root同根生,,,無條目
百合花,,,待確認
FUTURE AFTER A SECOND,,,無條目
貓膽汁,,,無條目
當代電影大師,,,無條目
LÜCY,https://zh.wikipedia.org/wiki/L%C3%9CCY,"LÜCY，是台灣女性獨立音樂創作歌手。其音樂風格涵蓋夢幻流行、獨立民謠與臥室流行。2020年憑藉單曲〈CACTUS〉於StreetVoice成名，並於2022年發行首張同名專輯《LÜCY》，獲得金音創作獎多項提名肯定。
",已取得
林奕碩,,,無條目
林以樂,https://zh.wikipedia.org/wiki/%E9%9B%80%E6%96%91%E6%A8%82%E5%9C%98,"雀斑（Freckles），成立於2003年的台灣樂團，成員有林以樂（主唱、吉他手兼鍵盤手）、蘇偉安（主唱兼吉他手）、蘇偉博（貝斯手）、菜圃（鼓手），主要活動區域為台北地區。
",已取得
BRBP,,,無條目
FTK,,,無條目
Tickle Tickle癢癢,,,無條目
謝明諺,,,無條目
鍾錡,,,無條目
吳政君,https://zh.wikipedia.org/wiki/%E5%90%B3%E6%94%BF%E5%90%9B,"吳政君，臺灣擊樂演奏家，是異境樂團藝術總監、也是生祥樂隊與絲竹空爵士樂團的團員。2008年畢業於國立臺灣戲曲學院戲曲音樂系。擅長演奏二胡、與各種風格的打擊樂器，包括拉丁打擊樂器、中國打擊樂器、世界手鼓和爵士鼓等。演奏風格涵蓋爵士樂、拉丁音樂、流行音樂、世界音樂等領域。曾受邀參與多場國際演出，合作對象包括臺北市立國樂團、台灣國樂團，以及馬修連恩、張惠妹、黃小琥、戴佩妮、江蕙、劉若英、周杰倫、鳳飛飛、梁靜茹等人。2018年獲得國立臺灣戲曲學院107學年度傑出校友獎。2021年獲得第12屆金音創作獎最佳樂手獎。2026年與黃瑞豐演奏家合作出品《傳奇．雙擊--新視界》音樂專輯共同榮獲第37屆金曲獎最佳專輯製作人獎。
",已取得
黃瑞豐,https://zh.wikipedia.org/wiki/%E9%BB%83%E7%91%9E%E8%B1%90,"黃瑞豐（1950年1月6日—），臺灣爵士鼓演奏家、爵士鼓教育推廣者、詞曲創作者。1997年時就曾榮獲日本音樂報刊評為「中華民國最好的鼓手」，也享有台灣鼓王的美譽。
",已取得
利惟庸,,,無條目
鄭昭元,,,無條目
Leo王,https://zh.wikipedia.org/wiki/Leo%E7%8E%8B,"Leo王，本名王之佑，是出身自臺灣高雄的華語流行音樂創作歌手。他是龐克搖滾樂團巨大的轟鳴的主唱，以及饒舌演唱組合夜貓組的成員。2019年，以第三張個人專輯《無病呻吟有情抒情》獲頒第30屆金曲獎最佳國語男歌手獎。
",已取得
胖虎,,,待確認
Fat Hamster and KANG New,,,無條目
Jacqui,,,無條目
Lomba Sihir,,,無條目
.Feast,,,無條目
ELLE SHIMADA,,,無條目
BEYOND CURE病入膏肓,,,無條目
擊沈女孩DESTROYERS,,,無條目
倒車入庫,,,無條目
王若琳,https://zh.wikipedia.org/wiki/%E7%8E%8B%E8%8B%A5%E7%90%B3,"王若琳，台裔美籍創作女歌手、音樂製作人。2008年初發行首張專輯《Start From Here》出道。曾於2015年底在日本演出時與歌迷用簡單日文交流，亦演唱日語歌曲《チキチキバンバン》，以及2008年在節目《週日狂熱夜》第57集中演唱葡萄牙語歌曲《Take Me To Aruanda》。
",已取得
Sapud Kacaw撒部．噶照,,,無條目
Naa'u娜塢,,,無條目
柯智棠,https://zh.wikipedia.org/wiki/%E6%9F%AF%E6%99%BA%E6%A3%A0,"柯智棠，台灣創作男歌手。
",已取得
江孟薰,,,無條目
李英宏,https://zh.wikipedia.org/wiki/%E6%9D%8E%E8%8B%B1%E5%AE%8F,"李英宏 （1986年7月6日—），藝名DJ Didilong，臺灣男歌手、演員，新北市新莊區人，畢業於國立台灣藝術大學廣播電視學系。2016年5月發行首張個人專輯《台北直直撞》，並於同年9月30日在ATT Show Box舉辦首次個人演唱會。
",已取得
楊舒雅,https://zh.wikipedia.org/wiki/%E6%A5%8A%E8%88%92%E9%9B%85,"楊舒雅（1999年—），臺灣音樂工作者與政治人物，饒舌音樂創作者，曾任民主進步黨籍立法委員伍麗華助理。
",已取得
KNOWTIS,,,無條目
PUZZLEMAN,,,無條目
CED,,,待確認
Wring Out Laura,,,無條目
KbN凱比鳥,,,無條目
