藝人中文名,藝人英文名,類型,地區,入圍紀錄,得獎紀錄,來源網址,網址識別碼,識別碼來源,識別碼依據網址,判斷依據
秦四風,,男歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,qin-si-feng,音譯,,維基百科：中國音樂製作人秦四風（Sedar Chin）；查無官方英文名或自用羅馬拼音，採漢語拼音音譯
圖靈音樂實驗室,,團體,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,tu-ling-yin-le-shi-yan-shi,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
Von Citizen,,團體,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,von-citizen,藝人自用拼音,,網易雲/Instagram資料：中國廣州前衛金屬樂團Von Citizen；藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
王OK,,女歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,ok,藝人自用拼音,,百度百科：本名王馨，中國陝西西安女歌手；藝名中英夾雜，取其自用羅馬字母部分作為識別碼
鄭楠,,男歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,zheng-nan,音譯,,維基百科：中國浙江杭州男歌手、音樂製作人；查無官方英文名或自用羅馬拼音，採漢語拼音音譯
張羽涵,Leezi,女歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,leezi,藝人自用拼音,https://open.spotify.com/artist/4QnehXY8Ydx1WrjY5RY6E8,Spotify/Apple Music藝人頁：中國女歌手Leezi張羽涵；英文名／藝名依原始名單欄位「Leezi」
周雲蓬,,男歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,zhou-yun-peng,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
林憶蓮,Sandy Lam,女歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,sandy-lam,官方英文名,https://zh.wikipedia.org/wiki/林憶蓮,英文名／藝名依原始名單欄位「Sandy Lam」
王菀之,Ivana Wong,女歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,ivana-wong,官方英文名,https://zh.wikipedia.org/wiki/王菀之,英文名／藝名依原始名單欄位「Ivana Wong」
李銖銜,James Lee,男歌手,國外,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,james-lee,官方英文名,https://zh.wikipedia.org/wiki/李銖銜,維基百科：美籍韓裔歌手，曾任Royal Pirates成員（該團為男性團員）；英文名／藝名依原始名單欄位「James Lee」
三隻狗,,待確認,待確認,第36屆金曲獎 最佳華語專輯獎（合輯）,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,san-zhi-gou,音譯,,豆瓣百科：《不完全自救手冊》臨時合作案，由許鈞（台灣）、荒井十一（香港）、克昶三人組成，非固定團體，成員國籍不一，本輪暫無法判定單一地區；查無官方英文名或自用羅馬拼音，採漢語拼音音譯
J.Sheon,,男歌手,待確認,第36屆金曲獎 最佳華語專輯獎；第36屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,j-sheon,藝人自用拼音,,藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
林家謙,Terence Lam,男歌手,國外,第36屆金曲獎 最佳華語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,terence-lam,官方英文名,https://zh.wikipedia.org/wiki/林家謙,英文名／藝名依原始名單欄位「Terence Lam」
呂士軒,,男歌手,國內,第36屆金曲獎 最佳華語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳華語男歌手獎；第16屆金音 最佳專輯獎；第16屆金音 最佳嘻哈專輯獎,第36屆金曲獎 最佳華語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳華語男歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448,lv-shi-xuan,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
魏如萱,,女歌手,國內,第36屆金曲獎 最佳華語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳華語女歌手獎,第36屆金曲獎 最佳華語女歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805,wei-ru-xuan,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
楊肅浩,,男歌手,國內,第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳台語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,yang-su-hao,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
FunkyMo,,團體,國內,第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳台語男歌手獎；第16屆金音 最佳專輯獎；第16屆金音 最佳創作歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448,funkymo,藝人自用拼音,,藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
陳以恆,,男歌手,國內,第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳台語男歌手獎；第16屆金音 最佳節奏藍調專輯獎,第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳台語男歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448,chen-yi-heng,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
王彙筑,,女歌手,國內,第36屆金曲獎 最佳台語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳台語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,wang-hui-zhu,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
秋林,,男歌手,國外,第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳客語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,qiu-lin,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
粹垢TRAEGO,,團體,國內,第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳客語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,traego,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
黃子軒,,男歌手,國內,第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳客語歌手獎,第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳客語歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805,huang-zi-xuan,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
羅思容,,女歌手,國內,第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第17屆金音 最佳創作歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,luo-si-rong,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
米莎,,女歌手,國內,第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳客語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,mi-sha,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
楊淑喻（吉那）,,女歌手,國內,第36屆金曲獎 最佳客語專輯獎；第36屆金曲獎 年度專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,yang-shu-yu-ji-na,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
張淦勛,Giyu Tjuljaviya,男歌手,國內,第36屆金曲獎 最佳原住民語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳新人獎；第16屆金音 最佳民謠專輯獎；第16屆金音 最佳民謠歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448,giyu-tjuljaviya,藝人自用拼音,https://zh.wikipedia.org/wiki/張淦勛,英文名／藝名依原始名單欄位「Giyu Tjuljaviya」
Morikilr孔亞明,,男歌手,國內,第36屆金曲獎 最佳原住民語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳原住民語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,morikilr,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
Kumu Basaw姑慕·巴紹,,女歌手,國內,第36屆金曲獎 最佳原住民語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳原住民語歌手獎；第36屆金曲獎 最佳新人獎；第16屆金音 最佳節奏藍調歌曲獎,第36屆金曲獎 最佳原住民語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳原住民語歌手獎；第16屆金音 最佳節奏藍調歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805,kumu-basaw,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
桑布伊,Sangpuy,男歌手,國內,第36屆金曲獎 最佳原住民語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳原住民語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,sangpuy,藝人自用拼音,https://zh.wikipedia.org/wiki/桑布伊,英文名／藝名依原始名單欄位「Sangpuy」
戴曉君Sauljaljui,,女歌手,國內,第36屆金曲獎 最佳原住民語專輯獎；第36屆金曲獎 年度專輯獎；第36屆金曲獎 最佳原住民語歌手獎；第16屆金音 最佳專輯獎；第16屆金音 最佳創作歌手獎；第16屆金音 最佳樂手獎；第16屆金音 最佳民謠專輯獎；第16屆金音 最佳民謠歌曲獎,第16屆金音 最佳樂手獎；第16屆金音 最佳民謠專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448,sauljaljui,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
柏霖PoLin,,男歌手,國內,第36屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,polin,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
蕭煌奇,,男歌手,國內,第36屆金曲獎 最佳華語男歌手獎；第37屆金曲獎 最佳台語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳台語男歌手獎,第37屆金曲獎 最佳台語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳台語男歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,xiao-huang-qi,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
李榮浩,,男歌手,國外,第36屆金曲獎 最佳華語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,li-rong-hao,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
蔡健雅,Tanya Chua,女歌手,國外,第36屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,tanya-chua,官方英文名,https://zh.wikipedia.org/wiki/蔡健雅,英文名／藝名依原始名單欄位「Tanya Chua」
戴佩妮,Penny Tai,女歌手,國外,第36屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,penny-tai,官方英文名,https://zh.wikipedia.org/wiki/戴佩妮,英文名／藝名依原始名單欄位「Penny Tai」
陳忻玥,,女歌手,國內,第36屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,chen-xin-yue,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
Karencici,,女歌手,國外,第36屆金曲獎 最佳華語女歌手獎；第17屆金音 最佳另類流行專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,karencici,藝人自用拼音,,藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
馬克SAVAGE.M,,男歌手,國內,第36屆金曲獎 最佳台語男歌手獎；第16屆金音 最佳嘻哈專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448,savage-m,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
蔡秋鳳,Carris Tsai,女歌手,國內,第36屆金曲獎 最佳台語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,carris-tsai,藝人自用拼音,https://zh.wikipedia.org/wiki/蔡秋鳳,英文名／藝名依原始名單欄位「Carris Tsai」
林美秀,,女歌手,國內,第36屆金曲獎 最佳台語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,lin-mei-xiu,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
詹雅雯,,女歌手,國內,第36屆金曲獎 最佳台語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,zhan-ya-wen,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
曾妮Dremedreman,,女歌手,國內,第36屆金曲獎 最佳原住民語歌手獎；第16屆金音 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448,dremedreman,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
無妄合作社,,團體,國內,第36屆金曲獎 最佳樂團獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,wu-wang-he-zuo-she,音譯,,500輯／StreetVoice：台北搖滾樂團，主唱郭力瑋、謝碩元與鼓手林玉組成；查無官方英文名或自用羅馬拼音，採漢語拼音音譯
JADE,,團體,國內,第36屆金曲獎 最佳樂團獎；第15屆金音 最佳搖滾歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381,jade,藝人自用拼音,,藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
TRASH,,團體,國內,第36屆金曲獎 最佳樂團獎；第15屆金音 最佳現場演出獎,第36屆金曲獎 最佳樂團獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381,trash,藝人自用拼音,,藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
八十八顆芭樂籽,,團體,國內,第36屆金曲獎 最佳樂團獎；第16屆金音 最佳樂團獎；第16屆金音 最佳現場演出獎；第16屆金音 最佳搖滾專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448,ba-shi-ba-ke-ba-le-zi,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
恐龍的皮,,團體,國內,第36屆金曲獎 最佳演唱組合獎；第16屆金音 最佳現場演出獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448,kong-long-de-pi,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
動力火車,,團體,國內,第36屆金曲獎 最佳演唱組合獎,第36屆金曲獎 最佳演唱組合獎,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805,dong-li-huo-che,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
珂拉琪,Collage,團體,國內,第36屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,collage,官方英文名,,英文名／藝名依原始名單欄位「Collage」
丹丹猫猫,,團體,國內,第36屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,dan-dan-mao-mao,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
ATARASHII GAKKO!,,團體,國外,第36屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,atarashii-gakko,藝人自用拼音,,藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
SherryZ鄭雙雙,,女歌手,國內,第36屆金曲獎 最佳新人獎；第16屆金音 最佳新人獎；第16屆金音 最佳節奏藍調專輯獎；第16屆金音 最佳節奏藍調歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448,sherryz,藝人自用拼音,,維基百科：本名Sherry Cheng，長年參與台灣選秀節目與樂壇活動；藝名中英夾雜，取其自用羅馬字母部分作為識別碼
someshiit山姆,,男歌手,國內,第36屆金曲獎 最佳新人獎；第16屆金音 最佳嘻哈專輯獎,第36屆金曲獎 最佳新人獎；第16屆金音 最佳嘻哈專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=239805,someshiit,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
JUD陳泳希,,女歌手,國內,第36屆金曲獎 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430,jud,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
Andr,,女歌手,國內,第36屆金曲獎 最佳新人獎；第16屆金音 最佳另類流行歌曲獎；第15屆金音 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3539&s=237430；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=224381；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448,andr,藝人自用拼音,,PlayMusic／GQ Hong Kong報導：台灣Gen Z新星，本名資料未公開但確認為台灣籍女性創作歌手；藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
JOLIN蔡依林,,女歌手,國內,第37屆金曲獎 年度專輯獎；第37屆金曲獎 年度歌曲獎；第37屆金曲獎 最佳華語專輯獎；第37屆金曲獎 最佳華語女歌手獎,第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳華語女歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991,jolin,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
楊世暄,,男歌手,國內,第37屆金曲獎 年度歌曲獎；第17屆金音 最佳搖滾歌曲獎；第17屆金音 最佳民謠歌曲獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897,yang-shi-xuan,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
張震嶽,,男歌手,國內,第37屆金曲獎 年度歌曲獎；第37屆金曲獎 最佳華語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳華語男歌手獎,第37屆金曲獎 最佳華語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳華語男歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991,zhang-zhen-yue,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
陳小霞,,女歌手,國內,第37屆金曲獎 年度歌曲獎；第37屆金曲獎 評審團獎,第37屆金曲獎 評審團獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991,chen-xiao-xia,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
陳嫺靜,,女歌手,國內,第37屆金曲獎 年度歌曲獎；第37屆金曲獎 最佳華語女歌手獎；第37屆金曲獎 最佳新人獎；第17屆金音 最佳現場演出獎；第16屆金音 最佳專輯獎；第16屆金音 最佳新人獎；第16屆金音 最佳嘻哈專輯獎；第16屆金音 最佳嘻哈歌曲獎；第16屆金音 最佳節奏藍調歌曲獎；第16屆金音 最佳另類流行專輯獎；第16屆金音 最佳另類流行歌曲獎,第37屆金曲獎 最佳新人獎；第16屆金音 最佳新人獎；第16屆金音 最佳嘻哈歌曲獎；第16屆金音 最佳另類流行專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=245657；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448,chen-xian-jing,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
A-Lin,,女歌手,國內,第37屆金曲獎 年度歌曲獎,第37屆金曲獎 年度歌曲獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991,a-lin,藝人自用拼音,,藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
頑童MJ116,,團體,國內,第37屆金曲獎 最佳華語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳演唱組合獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247,mj116,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
單依純,,女歌手,國外,第37屆金曲獎 最佳華語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳華語女歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247,dan-yi-chun,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
鄭宜農,,女歌手,國內,第37屆金曲獎 最佳台語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳台語女歌手獎；第16屆金音 最佳專輯獎；第16屆金音 最佳創作歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3548&s=243448,zheng-yi-nong,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
吳永吉,,男歌手,國內,第37屆金曲獎 最佳台語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳台語男歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247,wu-yong-ji,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
CJ MiT,,男歌手,國內,第37屆金曲獎 最佳台語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳台語男歌手獎；第37屆金曲獎 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247,cj-mit,藝人自用拼音,,NOWnews／公視新聞：本名謝金融，台中出身台語男歌手；藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
阿依.羅,,女歌手,國外,第37屆金曲獎 最佳客語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳客語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247,a-yi-luo,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
ana,,女歌手,國內,第37屆金曲獎 最佳客語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳客語歌手獎；第17屆金音 最佳新人獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897,ana,藝人自用拼音,,客新聞HakkaNews報導：桃園楊梅客家創作者，入圍第37屆金曲最佳客語歌手；藝人本身以羅馬字母／英文為藝名，直接取自入圍名單原名
春麵樂隊,,團體,國內,第37屆金曲獎 最佳客語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳客語歌手獎；第17屆金音 最佳民謠專輯獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897,chun-mian-le-dui,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
陳以諾Sarah,,女歌手,國外,第37屆金曲獎 最佳客語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳客語歌手獎；第37屆金曲獎 最佳新人獎,第37屆金曲獎 最佳客語歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991,sarah,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
黃宇寒,,女歌手,國內,第37屆金曲獎 最佳客語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳客語歌手獎,第37屆金曲獎 最佳客語專輯獎；第37屆金曲獎 年度專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991,huang-yu-han,音譯,,VERSE／TNL專訪：桃園龍潭客家女性創作歌手；查無官方英文名或自用羅馬拼音，採漢語拼音音譯
漂流出口,,團體,國內,第37屆金曲獎 最佳原住民語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳樂團獎；第17屆金音 最佳樂團獎；第17屆金音 最佳搖滾專輯獎,第37屆金曲獎 最佳原住民語專輯獎；第37屆金曲獎 年度專輯獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=261897,piao-liu-chu-kou,音譯,,查無官方英文名或自用羅馬拼音，採漢語拼音音譯
高金龍Lawis Aow,,男歌手,國內,第37屆金曲獎 最佳原住民語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳原住民語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247,lawis-aow,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
Arase阿拉斯,,男歌手,國內,第37屆金曲獎 最佳原住民語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳原住民語歌手獎,,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247,arase,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
Suming舒米恩,,男歌手,國內,第37屆金曲獎 最佳原住民語專輯獎；第37屆金曲獎 年度專輯獎；第37屆金曲獎 最佳原住民語歌手獎,第37屆金曲獎 最佳原住民語歌手獎,https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=255247；https://www.bamid.gov.tw/News_Content.aspx?n=3483&s=257991,suming,藝人自用拼音,,藝名中英夾雜，取其自用羅馬字母部分作為識別碼
